CMDLINE /Library/Frameworks/Python.framework/Versions/3.8/bin/python3.8 obs_pS.py
MEM 0.582031 1622088964.3837
MEM 13.523438 1622088964.4935
MEM 22.406250 1622088964.6030
MEM 31.988281 1622088964.7113
MEM 40.550781 1622088964.8233
MEM 44.113281 1622088964.9311
MEM 50.812500 1622088965.0366
MEM 53.597656 1622088965.1462
MEM 56.593750 1622088965.2510
MEM 58.558594 1622088965.3559
MEM 62.074219 1622088965.4611
MEM 65.136719 1622088965.5702
MEM 69.531250 1622088965.6749
MEM 75.722656 1622088965.7817
MEM 80.414062 1622088965.8936
MEM 80.414062 1622088966.0053
MEM 80.414062 1622088966.1146
MEM 80.414062 1622088966.2262
MEM 80.414062 1622088966.3380
MEM 80.414062 1622088966.4498
MEM 80.667969 1622088966.5607
MEM 80.667969 1622088966.6702
MEM 80.667969 1622088966.7801
MEM 80.667969 1622088966.8918
MEM 80.667969 1622088967.0013
MEM 80.667969 1622088967.1101
MEM 80.667969 1622088967.2214
MEM 80.667969 1622088967.3284
MEM 80.667969 1622088967.4402
MEM 80.667969 1622088967.5520
MEM 80.667969 1622088967.6592
MEM 80.667969 1622088967.7708
MEM 80.667969 1622088967.8826
MEM 80.667969 1622088967.9933
MEM 80.667969 1622088968.1051
MEM 80.667969 1622088968.2167
MEM 80.667969 1622088968.3283
MEM 80.964844 1622088968.4399
MEM 80.972656 1622088968.5475
MEM 84.605469 1622088968.6566
MEM 92.867188 1622088968.7626
MEM 96.359375 1622088968.8722
MEM 99.144531 1622088969.0456
MEM 101.214844 1622088969.1694
MEM 104.328125 1622088969.2879
MEM 104.281250 1622088969.3996
MEM 104.281250 1622088969.5083
MEM 104.281250 1622088969.6255
MEM 104.281250 1622088969.7339
MEM 104.417969 1622088969.8421
MEM 104.425781 1622088969.9961
MEM 104.425781 1622088970.1065
MEM 104.425781 1622088970.2149
MEM 104.417969 1622088970.3284
MEM 104.437500 1622088970.4424
MEM 104.464844 1622088970.5512
MEM 104.480469 1622088970.6630
MEM 105.335938 1622088970.7773
MEM 105.597656 1622088970.8903
MEM 106.984375 1622088971.0021
MEM 107.011719 1622088971.1115
MEM 107.601562 1622088971.2215
MEM 124.500000 1622088971.3377
MEM 126.417969 1622088971.4505
MEM 126.433594 1622088971.5606
MEM 126.433594 1622088971.6728
MEM 126.433594 1622088971.7811
MEM 126.433594 1622088971.8908
MEM 126.472656 1622088972.0030
MEM 126.472656 1622088972.1115
MEM 126.476562 1622088972.2194
MEM 126.476562 1622088972.3274
MEM 127.398438 1622088972.4388
MEM 119.269531 1622088972.5538
MEM 127.476562 1622088972.6615
MEM 127.476562 1622088972.7733
MEM 127.476562 1622088972.8839
MEM 127.476562 1622088972.9966
MEM 127.476562 1622088973.1099
